order_id,product_id,seller_id,price
7ac8fa0b-357e-4a1a-af8c-5a879272d1f6,8861fe18-58e2-4888-8a83-81bec85aca46,991121e7-93d5-43ae-91a3-ac26937bf79b,323.18
d0759f54-9468-4579-8985-6caa189a5ca8,c71d5e60-1d52-46ab-b7e6-427cbf780e3f,f64ab6ec-30a5-448e-afe9-b3d0363908bf,358.48
668d4653-9c1b-4fdf-a76f-6bf295ce1e04,c51155ff-e7a3-4e81-a3b4-c08b6b8e869f,b99b2b5a-e00d-449d-affa-20023040413c,459.78
2aef3916-1701-45eb-8cbb-451845b63363,59e4b671-4774-4c58-85f8-bc16f7860b50,8ff8869d-0ec0-413d-aa2c-7a517688d11f,158.77
5d7ac053-f128-4139-962c-48ec41b69f44,edcb8cb6-0692-4c63-9424-aed51bac5c15,ef0bea4f-fc73-4d92-91ab-3d11e4eb8000,244.82
8962310a-89f0-4674-8a32-c5fe637a1ce1,2a45c2ab-8cbf-4db0-b264-accc79ac1b1e,19d45deb-1139-4a12-b4c1-c3ea3d9c4e64,156.56
988c52cc-12ec-4fc4-8df4-6c41af90e782,ec1b8ca1-f91e-4d4c-9ff4-9b7889463e85,0f9aeb70-4670-4cd6-8ced-a16469df14e9,123.83
1b512ebe-1f7b-4d6c-9040-81b0e3fd6fb5,451b4cf3-6123-4df7-b656-af7229d4beef,d8ddbbc0-7325-4aa3-ac17-0298143df5b3,473.17
13cdf9c9-9487-4334-a3f6-ef6dc78b520f,6b65a6a4-8b81-48f6-b38a-088ca65ed389,882ccd1e-6c93-4791-8b60-c511b8168aeb,138.41
cf6e1d08-d2be-4c8f-b321-a41a974d1120,ab0e664e-9c3e-42d5-91e1-aa9676f72255,87623997-649f-4d88-8989-c5abfe2b34d8,102.61
6da05884-252a-4f21-9f5c-03714436bdc1,f2e9702d-11e9-4daa-ae69-81a35d3d9e56,0fcf601f-1cb9-473a-906d-5c8cead08c89,236.61
e15530c5-1d7c-44ea-853c-12a09dcda6f8,27cb6f2a-8da0-4097-be0f-051b1b66b5a9,a55871e3-bab2-477d-ba74-0cc8a43afb7a,495.43
16b25308-fc2d-401b-8626-378f121f6459,5715bd6f-a416-4293-84c2-e2e3444ea7c8,7ee1011a-8e4c-4ab5-ad5d-0477adc29178,50.97
35352860-22e4-4d59-affc-185c73b9ac7b,c51155ff-e7a3-4e81-a3b4-c08b6b8e869f,de9f6f5b-72d3-4458-a1ea-2f30e42e707a,414.86
6c6074d4-a7b1-44b0-80ff-51cfcfd7f89c,ce88cb2d-d4e8-4839-bc3e-058be0f3eab0,69f753f1-501b-4851-9ee6-8495340029c3,174.33
8550312f-3bb4-48d3-8425-d42464198f26,3eabedcb-baa8-4dd4-88bd-64072bcfbe01,5bf86f3c-a612-4a1c-889d-4b76775c30b5,227.23
1f51b8b1-075c-4923-916c-3527018ca6ac,a6846099-f729-4951-8591-31d2bbda0242,1747f387-7d23-4479-9549-2a82b787ef8d,370.6
7eaa1337-19ab-497d-993a-4a3d3c140c6e,ce9e1a11-fcbb-4e59-bbdd-cf7c9c96e9ec,9a591974-9adf-4709-ac75-c344608e149e,215.64
7a7811b3-f9b1-47e5-85b1-cb5a1b160102,709b7d97-464c-44af-bd3f-3799a07295e9,605fb1eb-4cc5-4e0d-a633-20186883ac6e,126.71
3b245629-0e43-41f5-87dc-59d21703270e,7746d0ba-8ae8-405b-94b4-a48268586eba,19d45deb-1139-4a12-b4c1-c3ea3d9c4e64,458.47
ce3faab1-356b-4466-8f27-cf036a7dc5c5,7c967f79-b7e9-4aca-a970-65e18e46d534,cf39f648-083f-44c3-9ce3-62f8c3f725fe,430.55
43c59889-b5f8-4685-b987-3e0f13073303,81627cf1-4394-42e6-9a58-7e8aa25d6b29,66fadca0-0b53-4932-bd94-19aa3ea6e5b2,130.46
1b3693b4-2720-42f8-9b4b-e78b72ffb3c9,fb10987f-20ac-4703-ab67-146a77a6e17c,bb44badc-ea98-4ef8-90d7-5e373bf2025f,310.95
0b0347eb-927c-4f04-9a28-ce11c5172bb1,edcb8cb6-0692-4c63-9424-aed51bac5c15,3f5cf2f3-3acb-43a3-92c7-bffb6118433b,473.92
